Date,MMM,AXP,AMGN.O,AAPL.O,BA,CAT,CVX,CSCO.O,KO,DIS,DOW,GS,HD,HON.O,IBM,INTC.O,JNJ,JPM,MCD,MRK,MSFT.O,NKE,PG,CRM,TRV,UNH,V,VZ,WBA.O,WMT
2023/4/24,0.56%,-1.95%,0.24%,0.19%,0.30%,1.43%,1.40%,0.77%,-0.16%,0.11%,0.95%,0.67%,0.53%,0.36%,-0.26%,-2.11%,0.61%,0.14%,0.39%,0.49%,-1.40%,1.24%,0.18%,-2.07%,-0.21%,1.06%,-0.59%,-0.55%,0.65%,0.68%
2023/4/21,-0.24%,0.31%,0.16%,-0.98%,-1.00%,-0.90%,-0.43%,0.97%,0.14%,1.53%,-1.49%,0.87%,0.49%,-0.34%,-0.50%,-1.81%,-0.54%,-0.19%,0.36%,1.05%,-0.12%,0.87%,3.46%,0.77%,0.13%,-0.75%,0.35%,-0.23%,-0.28%,0.50%
2023/4/20,-1.27%,-1.01%,-1.12%,-0.58%,-0.71%,-1.06%,-0.49%,-3.04%,0.44%,-0.69%,-1.31%,0.54%,0.56%,-0.54%,0.03%,-0.93%,0.65%,-0.29%,-0.09%,0.04%,-0.81%,-0.97%,-0.26%,-0.71%,-1.81%,0.26%,-3.65%,0.87%,1.55%,0.64%
2023/4/19,-0.18%,0.33%,0.05%,0.70%,0.16%,-0.24%,0.09%,-4.51%,0.19%,-2.16%,-0.60%,0.89%,-0.68%,0.45%,-1.14%,-2.14%,0.94%,-0.13%,0.12%,-0.61%,0.03%,-0.43%,0.02%,0.21%,6.15%,-3.62%,-0.87%,-0.44%,-2.11%,0.11%
2023/4/18,-0.48%,0.42%,-0.80%,0.75%,1.63%,-0.02%,-0.23%,0.06%,0.16%,0.63%,-0.21%,-1.70%,1.20%,-0.47%,-0.03%,-0.96%,-2.81%,1.12%,0.55%,-0.16%,-0.15%,0.02%,0.11%,0.72%,0.42%,-0.17%,-1.32%,0.05%,-1.00%,0.22%
2023/4/17,0.95%,0.30%,-0.77%,0.01%,1.65%,0.70%,-0.88%,-0.51%,0.65%,0.40%,0.71%,0.82%,1.10%,0.67%,-0.25%,0.78%,-0.10%,0.79%,0.11%,-0.26%,0.93%,0.19%,0.03%,1.25%,1.73%,-1.26%,0.61%,-0.23%,1.76%,0.70%
2023/4/14,-0.36%,0.57%,-0.57%,-0.21%,-5.56%,0.91%,0.20%,-0.51%,-0.16%,-0.93%,-0.74%,1.44%,0.01%,0.33%,0.19%,-0.75%,-0.16%,7.55%,-0.03%,-0.23%,-1.28%,-0.38%,-0.51%,0.32%,-2.79%,-2.74%,-0.25%,0.57%,-1.29%,-0.68%
2023/4/13,1.71%,1.89%,0.78%,3.41%,0.59%,0.53%,1.34%,1.38%,0.73%,2.96%,0.05%,0.57%,0.59%,1.38%,-0.50%,0.34%,1.34%,0.38%,1.32%,1.61%,2.24%,2.24%,0.46%,1.94%,-0.37%,0.97%,0.31%,2.14%,0.25%,0.10%
2023/4/12,-0.18%,-1.57%,-0.77%,-0.44%,0.01%,-0.05%,0.35%,-1.01%,0.18%,-2.47%,1.25%,0.88%,-1.13%,0.54%,-1.44%,-1.02%,-0.21%,-0.02%,0.29%,1.12%,0.23%,0.29%,0.27%,0.76%,0.17%,0.04%,-0.63%,-0.28%,-1.71%,-0.49%
2023/4/11,1.75%,0.43%,0.21%,-0.76%,0.73%,2.35%,0.55%,-1.38%,-0.18%,-0.39%,0.68%,0.74%,0.89%,0.27%,-0.47%,-0.52%,-0.03%,0.49%,0.25%,-0.11%,-2.27%,1.14%,-0.20%,-1.36%,0.52%,1.12%,0.25%,0.89%,0.58%,-0.29%
2023/4/10,1.18%,1.45%,-0.96%,-1.60%,-0.28%,3.04%,0.38%,0.12%,-0.24%,0.84%,2.10%,0.79%,0.89%,0.64%,0.41%,-0.88%,-0.50%,0.33%,0.31%,0.25%,-0.76%,1.41%,-0.83%,-0.55%,0.81%,0.46%,-0.33%,0.19%,0.89%,-0.19%
